#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1	1	60.0	150.	3.400	3.400	3.500	3.700	4.000	4.400	4.400	4.300	4.200	3.700	3.500	3.400	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50.0	30	0.5	0.5	0.2	Evergreen Needleleaf
2	1	60.0	150.	3.400	3.400	3.500	3.700	4.000	4.400	4.400	4.300	4.200	3.700	3.500	3.400	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50.0	30	0.5	0.5	0.2	Evergreen Broadleaf
3	1	60.0	150.	1.680	1.520	1.680	2.900	4.900	5.000	5.000	4.600	3.440	3.040	2.160	2.000	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	50.0	30	0.5	0.5	0.2	Deciduous Needleleaf
4	1	60.0	150.	1.680	1.520	1.680	2.900	4.900	5.000	5.000	4.600	3.440	3.040	2.160	2.000	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	50.0	30	0.5	0.5	0.2	Deciduous Broadleaf
5	1	60.0	140.	1.680	1.520	1.680	2.900	4.900	5.000	5.000	4.600	3.440	3.040	2.160	2.000	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	50.0	50	0.5	0.5	0.2	Mixed Cover
6	1	60.0	125.	1.680	1.520	1.680	2.900	4.900	5.000	5.000	4.600	3.440	3.040	2.160	2.000	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	6.70	50.0	50	0.5	0.5	0.2	Woodland
7	0	40.0	125.	2.000	2.250	2.950	3.850	3.750	3.500	3.550	3.200	3.300	2.850	2.600	2.200	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5	75.	0.5	0.5	0.2	Wooded Grasslands
8	0	50.0	135.	2.000	2.250	2.950	3.850	3.750	3.500	3.550	3.200	3.300	2.850	2.600	2.200	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5	75.	0.5	0.5	0.2	Closed Shrublands
9	0	50.0	135.	2.000	2.250	2.950	3.850	3.750	3.500	3.550	3.200	3.300	2.850	2.600	2.200	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5	75.	0.5	0.5	0.2	Open Shrublands
10	0	25.0	50.	2.000	2.250	2.950	3.850	3.750	3.500	3.550	3.200	3.300	2.850	2.600	2.200	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Grasslands
