Observations of Findley Lake Water Balance, from Richey and Wissmar (1979)
Fluxes in units of 100000 m3,,,,,,,,,,,
Year,Season,Inflow,std,Precip,std,Outflow,std,ET,std,dStorage,std
1974,Winter,20.7,3.48,1.83,0.92,22.41,3.36,0.03,0.02,0.09,0
1974,Spring,31.91,9.57,0.25,0.13,31.98,9.57,0.13,0.07,0.05,0
1974,Summer,4.35,0.45,0.12,0.06,4.36,0.44,0.16,0.08,-0.05,0
1974,Fall,8.46,1.1,1.09,0.55,9.53,0.95,0.02,0.01,0,0
1974,Total,65.42,6.05,3.29,1.07,68.28,5.95,0.34,0.11,0.09,0.01
1975,Winter,9.7,1.75,1.24,0.62,10.94,1.64,0,0,-0.03,0
1975,Spring,17.47,5.24,0.29,0.15,17.65,5.24,0.06,0.03,0.05,0
1975,Summer,9.12,0.94,0.26,0.13,9.28,0.93,0.13,0.06,-0.03,0
1975,Fall,13.88,2.52,1.81,0.91,15.65,2.35,0.01,0.01,0.03,0
1975,Total,50.17,4.16,3.6,1.11,53.52,4.01,0.2,0.07,0.02,0
