Sitename: Lucky Hills Shrubland Arizona USA
Location: Latitude: 31.7438  Longitude: -110.0522  Elevation (masl): 1370
Principal investigator: Russell Scott
Ecosystem type: OSH Open Shrublands
File creation date: 09APR2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
YEAR, GAP, DTIME, DOY, HRMIN, m/s, deg C, deg, m/s, umol/m2/s, umol/m2/s, umol/m2/s, W/m2, W/m2, W/m2, W/m2, W/m2, deg C, cm, deg C, cm, mm, %, kPa, umol/mol, kPa, %, %, W/m2, umol/m2/s, W/m2, W/m2, umol/m2/s, W/m2, W/m2, W/m2, mmol/mol, umol/m2/s, umol/m2/s, umol/mol, m, umol/m2/s, umol/m2/s, %, unitless
100.0,100.0,100.0 , 100.0 , 100.0,  97.2, 97.2, 97.2, 97.2, 87.5, 87.5,100.0, 94.5,  0.0, 89.1,  0.0, 97.0, 97.2,100.0, 97.2,100.0, 97.2, 97.2, 97.2, 93.4, 97.2, 97.2, 97.2, 97.2, 96.6, 96.7,  0.0, 96.5,  0.0,  0.0,  0.0, 93.4,  0.0,  0.0, 93.4, 97.2,  0.0,  0.0,  0.0,  0.0
2007,0,180.54167,180,1300,0.335,33.97,344.9,2.067,4.198,4.198,0,303.075,-6999,12.857,-6999,61.25,51.7,5,33,15,0,13.69,86.399,387.527,4.586,3,8,587.9,1973.672,1089,-6999,404.901,-9999,-9999,-9999,9.33,-6999,-6999,387.527,3.1,-6999,-6999,-6999,-6999
2007,0,180.56250,180,1330,0.404,34.79,274.7,3.006,0.444,0.444,0,339.365,-6999,12.259,-6999,122.796,53.05,5,33.7,15,0,12.641,86.367,387.14,4.858,3,8,609.9,1985.351,1096.5,-6999,412.033,-9999,-9999,-9999,8.829,-6999,-6999,387.14,3.1,-6999,-6999,-6999,-6999
2007,0,180.58333,180,1400,0.506,35.14,311.4,2.851,1.198,1.198,0,290.977,-6999,14.599,-6999,104.858,53.9,5,34.4,15,0,12.234,86.333,387.96,4.977,3,9,562.8,1924.263,1057,-6999,402.479,-9999,-9999,-9999,8.671,-6999,-6999,387.96,3.1,-6999,-6999,-6999,-6999
2007,0,180.60417,180,1430,0.357,35.49,335.4,1.815,0.921,0.921,0,359.209,-6999,16.148,-6999,96.672,54.8,5,35.05,15,0,12.074,86.305,387.844,5.083,3,9,596.4,1999.724,1107.5,-6999,422.798,-9999,-9999,-9999,8.603,-6999,-6999,387.844,3.1,-6999,-6999,-6999,-6999
2007,0,180.62500,180,1500,0.534,36.19,301.6,3.495,1.225,1.225,0,360.563,-6999,10.057,-6999,109.144,55.8,5,35.7,15,0,11.673,86.259,388.067,5.307,3,9,613.5,1996.131,1108,-6999,421.048,-9999,-9999,-9999,8.742,-6999,-6999,388.067,3.1,-6999,-6999,-6999,-6999
2007,0,180.64583,180,1530,0.451,34.785,322.8,1.693,0.582,0.582,0,200.069,-6999,64.853,-6999,67.241,54.75,5,36.4,15,0,13.736,86.243,386.712,4.796,2.5,9,232,929.342,496.15,-6999,192.762,-9999,-9999,-9999,9.306,-6999,-6999,386.712,3.1,-6999,-6999,-6999,-6999
2007,0,180.66667,180,1600,0.514,33.39,95.7,3.581,0.719,0.719,0,124.397,-6999,32.704,-6999,-19.415,51.1,5,37,15,0,15.648,86.215,386.124,4.339,2,9,24.71,398.957,197.6,-6999,80.644,-9999,-9999,-9999,10.624,-6999,-6999,386.124,3.1,-6999,-6999,-6999,-6999
2007,0,180.68750,180,1630,0.26,33.04,114.1,2.236,0.725,0.725,0,81.747,-6999,70.393,-6999,-83.865,47.6,5,37.5,15,0,16.392,86.169,385.859,4.217,2,9,131.5,571.71,287.75,-6999,114.83,-9999,-9999,-9999,10.99,-6999,-6999,385.859,3.1,-6999,-6999,-6999,-6999
