Sitename: Kendall Grassland Arizona USA
Location: Latitude: 31.7365  Longitude: -109.9419  Elevation (masl): 1531
Principal investigator: Russell Scott
Ecosystem type: GRA Grasslands
File creation date: 05APR2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
YEAR, GAP, DTIME, DOY, HRMIN, m/s, deg C, deg, m/s, umol/m2/s, umol/m2/s, umol/m2/s, W/m2, W/m2, W/m2, W/m2, W/m2, deg C, cm, deg C, cm, mm, %, kPa, umol/mol, kPa, %, %, W/m2, umol/m2/s, W/m2, W/m2, umol/m2/s, W/m2, W/m2, W/m2, mmol/mol, umol/m2/s, umol/m2/s, umol/mol, m, umol/m2/s, umol/m2/s, %, unitless
100.0,100.0,100.0 , 100.0 , 100.0,  99.9,100.0,100.0, 99.9,  0.0, 86.9,  0.0, 95.0,  0.0, 90.7,  0.0,100.0, 99.6,100.0, 99.6,100.0,100.0,100.0,100.0, 95.3,100.0, 99.6, 99.6,100.0,100.0, 99.4,  0.0, 99.8, 98.7,100.0,100.0, 95.3,  0.0,  0.0, 95.3,100.0,  0.0,  0.0,  0.0,  0.0
2004,0,127.47917,127,1130,0.307,25.149,299,3.525,-9999,-4.575,-9999,244.57,-6999,93.478,-6999,54.742,30.789,5,21.819,15,0,14.1,85.348,371.759,2.745,1,10,606.439,2013,1006.58,-6999,212.95,169.996,331.402,561.55,4.737,-6999,-6999,371.759,3.2,-6999,-6999,-6999,-6999
2004,-1,127.50000,127,1200,0.493,25.677,303.435,2.143,-9999,-9999,-9999,214.565,-6999,95.469,-6999,139.429,32.93,5,22.294,15,0,13.352,85.336,372.809,2.857,1,10,612.254,2050,1022.28,-6999,216.2,172.452,334.244,571.823,4.528,-6999,-6999,372.809,3.2,-6999,-6999,-6999,-6999
2004,0,127.52083,127,1230,0.34,26.274,289.468,2.358,-9999,-3.011,-9999,220.558,-6999,78.481,-6999,164.828,34.847,5,22.854,15,0,12.554,85.306,372.224,2.987,1.33,10,610.553,2058.5,1030.59,-6999,217.05,174.706,336.464,581.795,4.277,-6999,-6999,372.224,3.2,-6999,-6999,-6999,-6999
2004,-1,127.54167,127,1300,0.413,26.922,306.217,2.449,-9999,-9999,-9999,282.695,-6999,101.224,-6999,139.509,36.485,5,23.454,15,0,12.259,85.282,372.641,3.114,1.17,10,591.551,2035,1020.66,-6999,216.5,176.05,338.928,591.989,4.309,-6999,-6999,372.641,3.2,-6999,-6999,-6999,-6999
2004,0,127.56250,127,1330,0.147,27.382,298.199,3.444,-9999,-3.82,-9999,284.761,-6999,101.103,-6999,115.913,37.855,5,24.11,15,0,11.729,85.255,371.984,3.219,1.33,11,571.787,1984,999.375,-6999,214.35,174.223,338.783,592.149,4.148,-6999,-6999,371.984,3.2,-6999,-6999,-6999,-6999
2004,0,127.58333,127,1400,0.438,27.554,253.938,1.402,-9999,-2.518,-9999,248.624,-6999,83.177,-6999,91.852,38.789,5,24.785,15,0,11.148,85.223,372.054,3.273,1.5,11,537.631,1905,964.393,-6999,206.8,170.501,340.272,596.532,3.882,-6999,-6999,372.054,3.2,-6999,-6999,-6999,-6999
2004,0,127.60417,127,1430,0.358,28.021,283.408,3.864,-9999,-3.4,-9999,322.608,-6999,110.264,-6999,86.776,39.46,5,25.454,15,0,11.017,85.182,371.374,3.368,1.17,11,505.026,1793,917.019,-6999,196.85,163.576,339.341,587.758,3.943,-6999,-6999,371.374,3.2,-6999,-6999,-6999,-6999
2004,-1,127.62500,127,1500,0.434,28.294,294.963,1.194,-9999,-9999,-9999,205.341,-6999,82.959,-6999,54.805,39.84,5,26.087,15,0,10.489,85.151,371.824,3.442,1.17,11.33,457.866,1677,855.87,-6999,186.4,152.929,340.995,586.069,3.734,-6999,-6999,371.824,3.2,-6999,-6999,-6999,-6999
